"","ID","SEX","DOB_MONTH","DOB_DAY","DOB_YEAR","REGOFF","STATE"
"1",263,"F",2,4,11,31,53
"2",319,"F",5,20,15,31,3
"3",368,"M",3,16,7,31,37
"4",418,"F",9,9,15,31,35
"5",419,"F",3,14,19,31,28
"6",421,"F",12,23,18,31,53
"7",422,"F",8,3,18,31,28
"8",424,"F",3,11,12,31,28
"9",429,"F",11,8,6,31,53
"10",431,"M",5,20,9,31,53
"11",433,"F",4,27,14,31,53
"12",434,"F",4,25,12,31,53
"13",435,"F",4,22,13,31,6
"14",439,"F",10,5,14,31,6
"15",441,"M",8,22,9,31,53
"16",442,"F",8,24,2,31,53
"17",444,"F",12,13,17,31,3
"18",445,"M",12,11,17,31,46
"19",474,"M",7,23,18,31,3
"20",482,"F",1,23,7,31,35
"21",483,"F",11,21,17,31,35
"22",552,"F",2,8,5,31,28
"23",591,"M",5,1,2,31,28
"24",600,"F",8,23,11,31,3
"25",682,"F",7,23,18,31,3
"26",922,"M",12,4,7,31,6
"27",1085,"M",2,9,19,31,3
"28",1126,"F",11,23,4,31,6
"29",1273,"F",7,16,8,31,3
"30",1394,"F",10,17,16,31,3
"31",1678,"F",5,9,16,31,3
"32",1748,"F",1,19,18,31,6
"33",1774,"F",7,12,17,31,3
"34",1855,"F",3,7,19,31,3
"35",1891,"M",2,17,12,31,3
"36",2074,"F",5,12,8,31,3
"37",2307,"M",11,26,9,31,3
"38",2564,"F",4,13,4,31,53
"39",2632,"M",12,29,18,31,3
"40",2828,"M",4,15,17,31,3
"41",3020,"F",10,8,7,31,3
"42",3049,"F",10,1,10,31,3
"43",3255,"M",5,10,14,31,3
"44",3304,"F",11,1,17,31,3
"45",3459,"M",5,18,17,31,6
"46",3875,"F",4,10,8,31,37
"47",3996,"M",12,1,17,31,6
"48",4100,"F",5,24,17,31,3
"49",4204,"F",3,30,18,31,3
"50",4331,"F",4,11,10,31,3
"51",4348,"F",9,4,13,31,46
"52",4601,"F",11,17,99,31,6
"53",4671,"M",11,15,15,31,6
"54",4674,"F",10,22,18,31,5
"55",4790,"F",8,11,3,31,3
"56",5063,"M",2,2,19,31,37
"57",5221,"F",1,22,19,31,37
"58",5274,"F",3,13,19,31,3
"59",5400,"F",12,15,95,31,3
"60",5612,"M",4,21,18,31,3
"61",6069,"F",4,23,18,31,3
"62",6450,"F",1,12,6,31,3
"63",6453,"M",10,14,5,31,3
"64",6588,"F",6,9,17,31,28
"65",6607,"F",11,7,97,31,3
"66",6691,"F",7,6,10,31,3
"67",6856,"M",12,1,13,31,3
"68",6961,"M",8,17,94,31,3
"69",7174,"M",2,17,19,31,53
"70",7225,"F",2,15,18,31,3
"71",7318,"F",7,28,10,31,39
"72",7485,"M",5,26,18,31,3
"73",7493,"F",6,30,14,31,3
"74",7497,"F",11,29,18,31,28
"75",7504,"M",4,23,18,31,3
"76",7980,"F",8,6,11,31,3
